编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
112,Château Broustet,博鲁斯岱庄/布鲁斯特酒庄,http://www.chateau-broustet.com/,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
113,Château Nairac,奈哈克庄园,,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
114,Château Caillou,宝石庄园/嘉佑酒庄,http://www.chateaucaillou.com,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
115,Château Suau,苏奥酒庄,,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
116,Château de Malle,马乐堡/马乐庄园/德·玛尔酒庄,http://www.chateau-de-malle.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
117,Château Romer,,http://chateau-romer.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
118,Château Romer du Hayot,罗曼·杜海佑酒庄/罗曼莱庄园,,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
119,Château Lamothe,拉莫特齐格诺庄园,http://www.chateau-lamothe.com/fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
120,Château Lamothe-Guignard,拉莫特齐格诺庄园/拉慕特·吉雅酒庄,http://www.chateau-lamothe-guignard.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
121,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2001,,,Pinot Noir/100%,750,
122,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2002,,,Pinot Noir/100%,750,
123,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2003,,,Pinot Noir/100%,750,
124,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2004,,,Pinot Noir/100%,750,
125,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2005,,,Pinot Noir/100%,750,
126,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2006,,,Pinot Noir/100%,750,
127,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2007,,,Pinot Noir/100%,750,
128,Meo-Camuzet Richebourg,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Richebourg Grand Cru,法国/勃艮第/夜丘/维森-罗曼尼/李其堡,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
129,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2001,,,Pinot Noir/100%,750,
130,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2002,,,Pinot Noir/100%,750,
131,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2003,,,Pinot Noir/100%,750,
132,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2004,,,Pinot Noir/100%,750,
133,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2005,,,Pinot Noir/100%,750,
134,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2006,,,Pinot Noir/100%,750,
135,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2007,,,Pinot Noir/100%,750,
136,Meo-Camuzet Clos de Vougeot,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vougeot/Clos de Vougeot Grand Cru,法国/勃艮第/夜丘/伏旧/伏旧园,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
137,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,1998,,,Pinot Noir/100%,750,
138,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,1999,,,Pinot Noir/100%,750,
139,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2000,,,Pinot Noir/100%,750,
140,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2001,,,Pinot Noir/100%,750,
141,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2002,,,Pinot Noir/100%,750,
142,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2003,,,Pinot Noir/100%,750,
143,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2004,,,Pinot Noir/100%,750,
144,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2005,,,Pinot Noir/100%,750,
145,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2006,,,Pinot Noir/100%,750,
146,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2007,,,Pinot Noir/100%,750,
147,Meo-Camuzet Corton Clos Rognet,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Ladoix-Serrigny/Corton Grand Cru,法国/勃艮第/博纳丘/Ladoix-Serrigny/高登,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
148,Meo-Camuzet Corton Les Perrières,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Aloxe-Corton/Corton Grand Cru,法国/勃艮第/博纳丘/阿罗斯-高登/高登,Domaine Méo-Camuzet,,2009,,,Pinot Noir/100%,750,
149,Meo-Camuzet Corton La Vigne au Saint,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Beaune/Aloxe-Corton/Corton Grand Cru,法国/勃艮第/博纳丘/阿罗斯-高登/高登,Domaine Méo-Camuzet,,2009,,,Pinot Noir/100%,750,
150,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,1998,,,Pinot Noir/100%,750,
151,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,1999,,,Pinot Noir/100%,750,
152,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2000,,,Pinot Noir/100%,750,
153,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2001,,,Pinot Noir/100%,750,
154,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2002,,,Pinot Noir/100%,750,
155,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2003,,,Pinot Noir/100%,750,
156,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2004,,,Pinot Noir/100%,750,
157,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2005,,,Pinot Noir/100%,750,
158,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2006,,,Pinot Noir/100%,750,
159,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2007,,,Pinot Noir/100%,750,
160,Meo-Camuzet Échezeaux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Flagey-Echézeaux/Échezeaux Grand Cru,法国/勃艮第/夜丘/Flagey-Echézeaux/依瑟索,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
161,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1990,,,Pinot Noir/100%,750,
162,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1991,,,Pinot Noir/100%,750,
163,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1992,,,Pinot Noir/100%,750,
164,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1993,,,Pinot Noir/100%,750,
165,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1994,,,Pinot Noir/100%,750,
166,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1995,,,Pinot Noir/100%,750,
167,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1996,,,Pinot Noir/100%,750,
168,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1997,,,Pinot Noir/100%,750,
169,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1998,,,Pinot Noir/100%,750,
170,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,1999,,,Pinot Noir/100%,750,
171,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2000,,,Pinot Noir/100%,750,
172,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2001,,,Pinot Noir/100%,750,
173,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2002,,,Pinot Noir/100%,750,
174,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2003,,,Pinot Noir/100%,750,
175,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2004,,,Pinot Noir/100%,750,
176,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2005,,,Pinot Noir/100%,750,
177,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2006,,,Pinot Noir/100%,750,
178,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2007,,,Pinot Noir/100%,750,
179,Meo-Camuzet Vosne-Romanée aux Brûlées,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru/Aux Brûlées/Les Brûlées,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级田/Aux Brûlées/Les Brûlées,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
180,Meo-Camuzet Vosne-Romanée au Cros Parantoux,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru Cros Parantoux,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级园 Parantoux,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
181,Meo-Camuzet Vosne-Romanée les Chaumes,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Vosne-Romanée Premier Cru Les Chaumes,法国/勃艮第/夜丘/维森-罗曼尼/维森-罗曼尼一级园 Les Chaumes,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
182,Meo-Camuzet Nuits-Saint-Georges aux Boudots,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Nuits-Saint-Georges/Nuits-Saint-Georges Premier Cru Aux Boudots,法国/勃艮第/夜丘/夜圣乔治/夜圣乔治一级园 Aux Boudots,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
183,Meo-Camuzet Nuits-Saint-Georges aux Murgers,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Nuits-Saint-Georges/Nuits-Saint-Georges Premier Cru Aux Murgers,法国/勃艮第/夜丘/夜圣乔治/夜圣乔治一级园 Aux Murgers,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
184,Meo-Camuzet Nuits-Saint-Georges aux Argillas,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Nuits-Saint-Georges/Nuits-Saint-Georges Premier Cru Aux Argillas,法国/勃艮第/夜丘/夜圣乔治/夜圣乔治一级园 Aux Argillas,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
185,Meo-Camuzet Nuits-Saint-Georges les Perrières,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Nuits-Saint-Georges/Nuits-Saint-Georges Premier Cru Les Perrières,法国/勃艮第/夜丘/夜圣乔治/夜圣乔治一级园 Les Perrières,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
186,Meo-Camuzet Chambolle-Musigny les Cras,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Chambolle-Musigny/Chambolle-Musigny Premier Cru Les Cras,法国/勃艮第/夜丘/香波-木西尼/香波-木西尼一级园 Les Cras,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
